signature_group,athletes,avg_mpg,avg_ppg,avg_usage,avg_followers,avg_engagement,avg_trends_12mo,avg_trends_change
Has signature,18,32.822222222222216,22.233333333333334,0.28022222222222226,18841555.555555556,0.0410111111111111,14.725000000000001,0.030249999999999985
No signature,23,29.447826086956518,15.952173913043476,0.22613043478260869,861739.13043478259,0.083073913043478248,10.787391304347826,0.1804217391304348
